Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
51	:	1758635614.589	     7.421	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 50 --silence-mode
54	:	1758635615.615	     6.802	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 53 --silence-mode
56	:	1758635615.854	     6.968	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 55 --silence-mode
53	:	1758635615.461	     7.592	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 52 --silence-mode
55	:	1758635615.626	     7.463	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 54 --silence-mode
58	:	1758635616.324	     6.992	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 57 --silence-mode
59	:	1758635617.210	     6.986	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 58 --silence-mode
57	:	1758635616.231	     8.384	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 56 --silence-mode
60	:	1758635617.744	     7.108	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 59 --silence-mode
63	:	1758635621.419	     6.399	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 62 --silence-mode
62	:	1758635621.370	     6.580	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 61 --silence-mode
61	:	1758635621.316	     7.036	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 60 --silence-mode
64	:	1758635622.014	     7.216	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 63 --silence-mode
65	:	1758635622.424	     7.928	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 64 --silence-mode
69	:	1758635623.320	     7.059	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 68 --silence-mode
67	:	1758635623.057	     7.775	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 66 --silence-mode
70	:	1758635624.201	     6.775	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 69 --silence-mode
66	:	1758635622.827	     8.170	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 65 --silence-mode
71	:	1758635624.620	     6.402	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 70 --silence-mode
68	:	1758635623.092	     8.946	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 67 --silence-mode
72	:	1758635624.856	     7.825	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 71 --silence-mode
74	:	1758635627.953	     6.457	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 73 --silence-mode
73	:	1758635627.821	     7.036	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 72 --silence-mode
76	:	1758635629.234	     7.081	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 75 --silence-mode
75	:	1758635628.356	     8.367	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 74 --silence-mode
79	:	1758635630.836	     6.990	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 78 --silence-mode
78	:	1758635630.382	     7.710	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 77 --silence-mode
77	:	1758635630.357	     7.739	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 76 --silence-mode
80	:	1758635630.980	     7.150	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 79 --silence-mode
81	:	1758635631.002	     7.287	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 80 --silence-mode
82	:	1758635631.026	     7.843	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 81 --silence-mode
83	:	1758635632.043	     7.026	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 82 --silence-mode
84	:	1758635632.686	     7.004	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 83 --silence-mode
86	:	1758635634.861	     6.578	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 85 --silence-mode
85	:	1758635634.414	     7.142	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 84 --silence-mode
87	:	1758635636.318	     6.736	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 86 --silence-mode
88	:	1758635636.726	     7.835	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 87 --silence-mode
89	:	1758635637.830	     6.937	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 88 --silence-mode
92	:	1758635638.135	     7.033	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 91 --silence-mode
90	:	1758635638.097	     7.390	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 89 --silence-mode
93	:	1758635638.294	     7.209	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 92 --silence-mode
95	:	1758635639.074	     7.166	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 94 --silence-mode
91	:	1758635638.102	     8.352	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 90 --silence-mode
94	:	1758635638.874	     8.154	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 93 --silence-mode
96	:	1758635639.695	     8.042	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 95 --silence-mode
97	:	1758635641.444	     6.595	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 96 --silence-mode
98	:	1758635641.560	     7.071	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 97 --silence-mode
99	:	1758635643.058	     6.497	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 98 --silence-mode
100	:	1758635644.565	     6.815	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 99 --silence-mode
102	:	1758635645.173	     6.851	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 101 --silence-mode
101	:	1758635644.770	     7.360	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 100 --silence-mode
103	:	1758635645.491	     6.782	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 102 --silence-mode
104	:	1758635645.507	     7.069	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 103 --silence-mode
106	:	1758635646.459	     7.000	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 105 --silence-mode
105	:	1758635646.244	     7.559	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 104 --silence-mode
107	:	1758635647.032	     7.036	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 106 --silence-mode
108	:	1758635647.742	     7.326	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 107 --silence-mode
110	:	1758635648.635	     6.716	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 109 --silence-mode
